lotNumber,vendor,name,vendorItemNo,quantity,price,type
8586X,NV,oxcarbazepine 600 mg tablet; 100,Trileptal,100,145.83,Medication
8587Y,SB,whey protein formula supplemented with amino acids; vitamins and minerals; and low in protein; phosphate; potassium and lactose powder for oral liquid; 400 g,Kindergen,16,56.34,Medication
8588B,NV,oxcarbazepine 60 mg/mL oral liquid; 250 mL,Trileptal,2,52.89,Medication
8589C,PF,quinapril 10 mg + hydrochlorothiazide 12.5 mg tablet; 30,Accuretic 10/12.5mg,30,5.87,Medication
8590D,PF,quinapril 20 mg + hydrochlorothiazide 12.5 mg tablet; 30,Accuretic 20/12.5mg,30,6.85,Medication
8591E,VF,amino acid formula with vitamins and minerals without phenylalanine powder for oral liquid; 30 x 25 g sachets,PKU express 15,4,335.69,Medication
8592F,VF,amino acid formula with vitamins and minerals without valine; leucine and isoleucine powder for oral liquid; 30 x 24 g sachets,MSUD gel,4,467.4,Medication
8593G,AG,carmellose sodium 1% (10 mg/mL) eye drops; 15 mL,Refresh Liquigel,1,3.21,Medication
8594H,TX,amisulpride 100 mg tablet; 30,APO-Amisulpride,30,7.64,Medication
8594H,SW,amisulpride 100 mg tablet; 30,Solian 100,30,7.64,Medication
8594H,SZ,amisulpride 100 mg tablet; 30,Amisulpride Sandoz,30,7.64,Medication
8594H,WA,amisulpride 100 mg tablet; 30,Amisulpride 100 Winthrop,30,7.64,Medication
8594H,AF,amisulpride 100 mg tablet; 30,Sulprix,30,7.64,Medication
8595J,AF,amisulpride 200 mg tablet; 60,Sulprix,60,32.91,Medication
8595J,SZ,amisulpride 200 mg tablet; 60,Amisulpride Sandoz,60,32.91,Medication
8595J,WA,amisulpride 200 mg tablet; 60,Amisulpride 200 Winthrop,60,32.91,Medication
8595J,TX,amisulpride 200 mg tablet; 60,APO-Amisulpride,60,32.91,Medication
8595J,SW,amisulpride 200 mg tablet; 60,Solian 200,60,32.91,Medication
8596K,SZ,amisulpride 400 mg tablet; 60,Amisulpride Sandoz,60,59.67,Medication
8596K,SW,amisulpride 400 mg tablet; 60,Solian 400,60,59.67,Medication
8596K,RW,amisulpride 400 mg tablet; 60,Amipride 400,60,59.67,Medication
8596K,AF,amisulpride 400 mg tablet; 60,Sulprix,60,59.67,Medication
8596K,WA,amisulpride 400 mg tablet; 60,Amisulpride 400 Winthrop,60,59.67,Medication
8596K,TX,amisulpride 400 mg tablet; 60,APO-Amisulpride,60,59.67,Medication
8597L,AQ,travoprost 0.004% eye drops; 2.5 mL,Travatan,1,27.59,Medication
8598M,OA,mesalazine 500 mg granules; 100 sachets,Salofalk,200,120.61,Medication
8599N,OA,mesalazine 1 g modified release granules; 100 sachets,Salofalk,100,225.49,Medication
8600P,SZ,esomeprazole 20 mg enteric tablet; 30,Esomeprazole Sandoz,30,12.58,Medication
8600P,GQ,esomeprazole 20 mg enteric tablet; 30,Esomeprazole GH,30,12.58,Medication
8600P,RW,esomeprazole 20 mg enteric tablet; 30,Nexazole,30,12.58,Medication
8600P,AP,esomeprazole 20 mg enteric tablet; 30,Nexium,30,12.58,Medication
8600P,EA,esomeprazole 20 mg enteric tablet; 30,Esomeprazole AN,30,12.58,Medication
8600P,TX,esomeprazole 20 mg enteric tablet; 30,Esomeprazole Apotex,30,12.58,Medication
8600P,RF,esomeprazole 20 mg enteric tablet; 30,Nexole,30,12.58,Medication
8600P,RA,esomeprazole 20 mg enteric tablet; 30,Esomeprazole RBX,30,12.58,Medication
8600P,AF,esomeprazole 20 mg enteric tablet; 30,Esomeprazole GxP,30,12.58,Medication
8601Q,GQ,esomeprazole 40 mg enteric tablet; 30,Esomeprazole GH,30,21.33,Medication
8601Q,TX,esomeprazole 40 mg enteric tablet; 30,Esomeprazole Apotex,30,21.33,Medication
8601Q,SZ,esomeprazole 40 mg enteric tablet; 30,Esomeprazole Sandoz,30,21.33,Medication
8601Q,EA,esomeprazole 40 mg enteric tablet; 30,Esomeprazole AN,30,21.33,Medication
8601Q,AP,esomeprazole 40 mg enteric tablet; 30,Nexium,30,21.33,Medication
8601Q,AF,esomeprazole 40 mg enteric tablet; 30,Esomeprazole GxP,30,21.33,Medication
8601Q,RF,esomeprazole 40 mg enteric tablet; 30,Nexole,30,21.33,Medication
8601Q,RW,esomeprazole 40 mg enteric tablet; 30,Nexazole,30,21.33,Medication
8601Q,RA,esomeprazole 40 mg enteric tablet; 30,Esomeprazole RBX,30,21.33,Medication
8603T,PF,dalteparin sodium 2500 anti-Xa units/0.2 mL injection; 10 x 0.2 mL syringes,Fragmin,20,39.48,Medication
8604W,AF,bisoprolol fumarate 2.5 mg tablet; 28,Bispro 2.5,28,8.33,Medication
8604W,RW,bisoprolol fumarate 2.5 mg tablet; 28,Bicard 2.5,28,8.33,Medication
8604W,DO,bisoprolol fumarate 2.5 mg tablet; 28,Beprol 2.5,28,8.33,Medication
8604W,TX,bisoprolol fumarate 2.5 mg tablet; 28,APO-Bisoprolol,28,8.33,Medication
8604W,ED,bisoprolol fumarate 2.5 mg tablet; 28,Biso 2.5,28,8.33,Medication
8604W,TW,bisoprolol fumarate 2.5 mg tablet; 28,Terry White Chemists Bisoprolol,28,8.33,Medication
8604W,GQ,bisoprolol fumarate 2.5 mg tablet; 28,Bisoprolol generichealth,28,8.33,Medication
8604W,CH,bisoprolol fumarate 2.5 mg tablet; 28,Chem mart Bisoprolol,28,8.33,Medication
8604W,EA,bisoprolol fumarate 2.5 mg tablet; 28,Bisoprolol AN,28,8.33,Medication
8604W,AL,bisoprolol fumarate 2.5 mg tablet; 28,Bicor,28,8.33,Medication
8604W,SZ,bisoprolol fumarate 2.5 mg tablet; 28,Bisoprolol Sandoz,28,8.33,Medication
8605X,CH,bisoprolol fumarate 5 mg tablet; 28,Chem mart Bisoprolol,28,10.41,Medication
8605X,ED,bisoprolol fumarate 5 mg tablet; 28,Biso 5,28,10.41,Medication
8605X,AL,bisoprolol fumarate 5 mg tablet; 28,Bicor,28,10.41,Medication
8605X,AF,bisoprolol fumarate 5 mg tablet; 28,Bispro 5,28,10.41,Medication
8605X,TX,bisoprolol fumarate 5 mg tablet; 28,APO-Bisoprolol,28,10.41,Medication
8605X,DO,bisoprolol fumarate 5 mg tablet; 28,Beprol 5,28,10.41,Medication
8605X,TW,bisoprolol fumarate 5 mg tablet; 28,Terry White Chemists Bisoprolol,28,10.41,Medication
8605X,RW,bisoprolol fumarate 5 mg tablet; 28,Bicard 5,28,10.41,Medication
8605X,GQ,bisoprolol fumarate 5 mg tablet; 28,Bisoprolol generichealth,28,10.41,Medication
8605X,SZ,bisoprolol fumarate 5 mg tablet; 28,Bisoprolol Sandoz,28,10.41,Medication
8605X,EA,bisoprolol fumarate 5 mg tablet; 28,Bisoprolol AN,28,10.41,Medication
8606Y,AF,bisoprolol fumarate 10 mg tablet; 28,Bispro 10,28,13.01,Medication
8606Y,TW,bisoprolol fumarate 10 mg tablet; 28,Terry White Chemists Bisoprolol,28,13.01,Medication
8606Y,AL,bisoprolol fumarate 10 mg tablet; 28,Bicor,28,13.01,Medication
8606Y,SZ,bisoprolol fumarate 10 mg tablet; 28,Bisoprolol Sandoz,28,13.01,Medication
8606Y,CH,bisoprolol fumarate 10 mg tablet; 28,Chem mart Bisoprolol,28,13.01,Medication
8606Y,ED,bisoprolol fumarate 10 mg tablet; 28,Biso 10,28,13.01,Medication
8606Y,RW,bisoprolol fumarate 10 mg tablet; 28,Bicard 10,28,13.01,Medication
8606Y,EA,bisoprolol fumarate 10 mg tablet; 28,Bisoprolol AN,28,13.01,Medication
8606Y,TX,bisoprolol fumarate 10 mg tablet; 28,APO-Bisoprolol,28,13.01,Medication
8606Y,DO,bisoprolol fumarate 10 mg tablet; 28,Beprol 10,28,13.01,Medication
8606Y,GQ,bisoprolol fumarate 10 mg tablet; 28,Bisoprolol generichealth,28,13.01,Medication
8607B,SZ,metformin hydrochloride 1 g tablet; 90,Metformin Sandoz,90,4.36,Medication
8607B,AF,metformin hydrochloride 1 g tablet; 90,Diaformin 1000,90,4.36,Medication
8607B,ED,metformin hydrochloride 1 g tablet; 90,Metformin-GA,90,4.36,Medication
8607B,CR,metformin hydrochloride 1 g tablet; 90,Pharmacor Metformin 1000,90,4.36,Medication
8607B,RA,metformin hydrochloride 1 g tablet; 90,Metformin Ranbaxy 1000,90,4.36,Medication
8607B,EA,metformin hydrochloride 1 g tablet; 90,Metformin AN,90,4.36,Medication
8607B,AL,metformin hydrochloride 1 g tablet; 90,Diabex 1000,90,4.36,Medication
8607B,GQ,metformin hydrochloride 1 g tablet; 90,Metformin generichealth 1000,90,4.36,Medication
8607B,TX,metformin hydrochloride 1 g tablet; 90,APO-Metformin 1000,90,4.36,Medication
8607B,TW,metformin hydrochloride 1 g tablet; 90,Terry White Chemists Metformin 1000,90,4.36,Medication
8607B,DO,metformin hydrochloride 1 g tablet; 90,Glucobete 1000,90,4.36,Medication
8607B,RW,metformin hydrochloride 1 g tablet; 90,Formet 1000,90,4.36,Medication
8607B,CH,metformin hydrochloride 1 g tablet; 90,Chem mart Metformin 1000,90,4.36,Medication
8609D,NF,insulin aspart 30 units/mL + insulin aspart protamine 70 units/mL injection; 5 x 3 mL syringes,NovoMix 30 FlexPen,5,42.38,Medication
8609D,NO,insulin aspart 30 units/mL + insulin aspart protamine 70 units/mL injection; 5 x 3 mL syringes,NovoMix 30 Penfill 3 mL,5,42.38,Medication
8610E,BN,nifedipine 20 mg modified release tablet; 30,Adalat Oros 20mg,30,6.65,Medication
8611F,EF,tramadol hydrochloride 50 mg capsule; 20,Tramadol AMNEAL,20,1.86,Medication
8611F,CH,tramadol hydrochloride 50 mg capsule; 20,Chem mart Tramadol,20,1.86,Medication
8611F,TW,tramadol hydrochloride 50 mg capsule; 20,Terry White Chemists Tramadol,20,1.86,Medication
8611F,RW,tramadol hydrochloride 50 mg capsule; 20,Zydol,20,1.86,Medication
8611F,SZ,tramadol hydrochloride 50 mg capsule; 20,Tramadol Sandoz,20,1.86,Medication
8611F,TX,tramadol hydrochloride 50 mg capsule; 20,APO-Tramadol,20,1.86,Medication
8611F,EA,tramadol hydrochloride 50 mg capsule; 20,Tramadol AN,20,1.86,Medication
8611F,AF,tramadol hydrochloride 50 mg capsule; 20,Tramedo,20,1.86,Medication
8611F,CR,tramadol hydrochloride 50 mg capsule; 20,Tramadol SCP,20,1.86,Medication
8611F,ED,tramadol hydrochloride 50 mg capsule; 20,Tramadol Actavis,20,1.86,Medication
8611F,CS,tramadol hydrochloride 50 mg capsule; 20,Tramal,20,1.86,Medication
8612G,RF,macrogol-3350 13.12 g + sodium chloride 350.7 mg + potassium chloride 46.6 mg (0.63 mmol potassium) + sodium bicarbonate 178.5 mg solution; 30 sachets,Macrovic,1,7.04,Medication
8612G,NE,macrogol-3350 13.12 g + sodium chloride 350.7 mg + potassium chloride 46.6 mg (0.63 mmol potassium) + sodium bicarbonate 178.5 mg solution; 30 sachets,Movicol,1,7.04,Medication
8612G,AE,macrogol-3350 13.12 g + sodium chloride 350.7 mg + potassium chloride 46.6 mg (0.63 mmol potassium) + sodium bicarbonate 178.5 mg solution; 30 sachets,lax-sachets,1,7.04,Medication
8612G,TX,macrogol-3350 13.12 g + sodium chloride 350.7 mg + potassium chloride 46.6 mg (0.63 mmol potassium) + sodium bicarbonate 178.5 mg solution; 30 sachets,APO-MACROGOL plus ELECTROLYTES,1,7.04,Medication
8612G,EA,macrogol-3350 13.12 g + sodium chloride 350.7 mg + potassium chloride 46.6 mg (0.63 mmol potassium) + sodium bicarbonate 178.5 mg solution; 30 sachets,LaxaCon,1,7.04,Medication
8612G,HM,macrogol-3350 13.12 g + sodium chloride 350.7 mg + potassium chloride 46.6 mg (0.63 mmol potassium) + sodium bicarbonate 178.5 mg solution; 30 sachets,Molaxole,1,7.04,Medication
8612G,RW,macrogol-3350 13.12 g + sodium chloride 350.7 mg + potassium chloride 46.6 mg (0.63 mmol potassium) + sodium bicarbonate 178.5 mg solution; 30 sachets,Chemists' Own Macrogol with Electrolytes,1,7.04,Medication
8616L,OA,mesalazine 2 g/60 mL enema; 7 x 60 mL,Salofalk,4,68.88,Medication
8617M,OA,mesalazine 4 g/60 mL enema; 7 x 60 mL,Salofalk,4,93.1,Medication
8618N,BN,methylprednisolone aceponate 0.1% lotion; 20 g,Advantan,1,6.66,Medication
8619P,GN,testosterone 5 mg/24 hours patch; 30,Androderm,1,71.82,Medication
8620Q,AG,bimatoprost 0.03% eye drops; 3 mL,Lumigan,1,27.59,Medication
8621R,AF,risedronate sodium 35 mg tablet; 4,Acris Once-a-Week,4,22.33,Medication
8621R,SZ,risedronate sodium 35 mg tablet; 4,Risedronate Sandoz,4,22.33,Medication
8621R,GN,risedronate sodium 35 mg tablet; 4,Risedronate-GA,4,22.33,Medication
8621R,EA,risedronate sodium 35 mg tablet; 4,Risedronate AN,4,22.33,Medication
8621R,TX,risedronate sodium 35 mg tablet; 4,APO-Risedronate,4,22.33,Medication
8621R,RW,risedronate sodium 35 mg tablet; 4,Risedro once a week,4,22.33,Medication
8622T,RW,telmisartan 40 mg + hydrochlorothiazide 12.5 mg tablet; 28,Teltartan HCT 40/12.5,28,3.67,Medication
8622T,TW,telmisartan 40 mg + hydrochlorothiazide 12.5 mg tablet; 28,Terry White Chemists Telmisartan HCTZ 40/12.5,28,3.67,Medication
8622T,CH,telmisartan 40 mg + hydrochlorothiazide 12.5 mg tablet; 28,Chem mart Telmisartan HCTZ 40/12.5,28,3.67,Medication
8622T,EA,telmisartan 40 mg + hydrochlorothiazide 12.5 mg tablet; 28,Telmisartan HCTZ AN 40/12.5,28,3.67,Medication
8622T,BY,telmisartan 40 mg + hydrochlorothiazide 12.5 mg tablet; 28,Micardis Plus 40/12.5 mg,28,3.67,Medication
8622T,FI,telmisartan 40 mg + hydrochlorothiazide 12.5 mg tablet; 28,Pritor Plus 40/12.5 mg,28,3.67,Medication
8622T,AF,telmisartan 40 mg + hydrochlorothiazide 12.5 mg tablet; 28,Mizart HCT 40/12.5 mg,28,3.67,Medication
8622T,GQ,telmisartan 40 mg + hydrochlorothiazide 12.5 mg tablet; 28,Telmisartan HCT GH 40/12.5,28,3.67,Medication
8622T,TX,telmisartan 40 mg + hydrochlorothiazide 12.5 mg tablet; 28,APO-Telmisartan HCTZ 40/12.5,28,3.67,Medication
8622T,SZ,telmisartan 40 mg + hydrochlorothiazide 12.5 mg tablet; 28,Telmisartan/HCT Sandoz,28,3.67,Medication
8623W,AF,telmisartan 80 mg + hydrochlorothiazide 12.5 mg tablet; 28,Mizart HCT 80/12.5 mg,28,8.65,Medication
8623W,GQ,telmisartan 80 mg + hydrochlorothiazide 12.5 mg tablet; 28,Telmisartan HCT GH 80/12.5,28,8.65,Medication
8623W,TX,telmisartan 80 mg + hydrochlorothiazide 12.5 mg tablet; 28,APO-Telmisartan HCTZ 80/12.5,28,8.65,Medication
8623W,CH,telmisartan 80 mg + hydrochlorothiazide 12.5 mg tablet; 28,Chem mart Telmisartan HCTZ 80/12.5,28,8.65,Medication
8623W,SZ,telmisartan 80 mg + hydrochlorothiazide 12.5 mg tablet; 28,Telmisartan/HCT Sandoz,28,8.65,Medication
8623W,FI,telmisartan 80 mg + hydrochlorothiazide 12.5 mg tablet; 28,Pritor Plus 80/12.5 mg,28,8.65,Medication
8623W,EA,telmisartan 80 mg + hydrochlorothiazide 12.5 mg tablet; 28,Telmisartan HCTZ AN 80/12.5,28,8.65,Medication
8623W,RW,telmisartan 80 mg + hydrochlorothiazide 12.5 mg tablet; 28,Teltartan HCT 80/12.5,28,8.65,Medication
8623W,BY,telmisartan 80 mg + hydrochlorothiazide 12.5 mg tablet; 28,Micardis Plus 80/12.5 mg,28,8.65,Medication
8623W,TW,telmisartan 80 mg + hydrochlorothiazide 12.5 mg tablet; 28,Terry White Chemists Telmisartan HCTZ 80/12.5,28,8.65,Medication
8624X,AF,eprosartan 600 mg + hydrochlorothiazide 12.5 mg tablet; 28,Teveten Plus 600/12.5,28,16.01,Medication
8625Y,AP,budesonide 200 microgram/actuation + eformoterol fumarate dihydrate 6 microgram/actuation powder for inhalation; 120 actuations,Symbicort Turbuhaler 200/6,1,44.26,Medication
8626B,BY,tiotropium 18 microgram powder for inhalation; 30 capsules,Spiriva,30,44.95,Medication
8627C,EA,montelukast 4 mg chewable tablet; 28,Montelukast AN,28,8.5,Medication
8627C,TW,montelukast 4 mg chewable tablet; 28,Terry White Chemists Montelukast,28,8.5,Medication
8627C,SZ,montelukast 4 mg chewable tablet; 28,Montelukast Sandoz 4,28,8.5,Medication
8627C,MK,montelukast 4 mg chewable tablet; 28,Singulair,28,8.5,Medication
8627C,TX,montelukast 4 mg chewable tablet; 28,APO-Montelukast,28,8.5,Medication
8627C,CH,montelukast 4 mg chewable tablet; 28,Chem mart Montelukast,28,8.5,Medication
8627C,AF,montelukast 4 mg chewable tablet; 28,T Lukast,28,8.5,Medication
8627C,GQ,montelukast 4 mg chewable tablet; 28,Montelukast GH,28,8.5,Medication
8627C,AL,montelukast 4 mg chewable tablet; 28,Lukair,28,8.5,Medication
8627C,RW,montelukast 4 mg chewable tablet; 28,Respikast 4,28,8.5,Medication
8627C,DO,montelukast 4 mg chewable tablet; 28,Auro-Montelukast Tabs 4,28,8.5,Medication
8628D,TX,montelukast 5 mg chewable tablet; 28,APO-Montelukast,28,7.99,Medication
8628D,GQ,montelukast 5 mg chewable tablet; 28,Montelukast GH,28,7.99,Medication
8628D,SZ,montelukast 5 mg chewable tablet; 28,Montelukast Sandoz 5,28,7.99,Medication
8628D,AF,montelukast 5 mg chewable tablet; 28,T Lukast,28,7.99,Medication
8628D,CH,montelukast 5 mg chewable tablet; 28,Chem mart Montelukast,28,7.99,Medication
8628D,MK,montelukast 5 mg chewable tablet; 28,Singulair,28,7.99,Medication
8628D,EA,montelukast 5 mg chewable tablet; 28,Montelukast AN,28,7.99,Medication
8628D,DO,montelukast 5 mg chewable tablet; 28,Auro-Montelukast Tabs 5,28,7.99,Medication
8628D,RW,montelukast 5 mg chewable tablet; 28,Respikast 5,28,7.99,Medication
8628D,AL,montelukast 5 mg chewable tablet; 28,Lukair,28,7.99,Medication
8628D,TW,montelukast 5 mg chewable tablet; 28,Terry White Chemists Montelukast,28,7.99,Medication
8630F,SB,milk protein and fat formula with vitamins and minerals carbohydrate free powder for oral liquid; 225 g,Carbohydrate Free Mixture,24,22.72,Medication
8631G,VF,amino acid formula with vitamins and minerals without phenylalanine and tyrosine powder for oral liquid; 30 x 24 g sachets,TYR gel,4,467.4,Medication
8632H,VF,amino acid formula with vitamins and minerals without valine; leucine and isoleucine powder for oral liquid; 30 x 25 g sachets,MSUD express 15,4,701.1,Medication
8633J,BN,levonorgestrel 52 mg intrauterine drug delivery system; 1 system,Mirena,1,213.65,Medication
8637N,PF,etanercept 25 mg injection [4 vials] (&) inert substance diluent [4 x 1 mL syringes]; 1 pack,Enbrel,2,774.25,Medication
8638P,PF,etanercept 25 mg injection [4 vials] (&) inert substance diluent [4 x 1 mL syringes]; 1 pack,Enbrel,2,774.25,Medication
8639Q,SW,enoxaparin sodium 40 mg/0.4 mL injection; 10 x 0.4 mL syringes,Clexane,20,41.14,Medication
8640R,SW,enoxaparin sodium 60 mg/0.6 mL injection; 10 x 0.6 mL syringes,Clexane,20,58.84,Medication
8641T,PF,dalteparin sodium 2500 anti-Xa units/0.2 mL injection; 10 x 0.2 mL syringes,Fragmin,20,39.48,Medication
8642W,PF,dalteparin sodium 5000 anti-Xa units/0.2 mL injection; 10 x 0.2 mL syringes,Fragmin,20,41.14,Medication
8643X,PF,dalteparin sodium 7500 anti-Xa units/0.75 mL injection; 10 x 0.75 mL syringes,Fragmin,20,49.77,Medication
8644Y,MF,oxycodone hydrochloride 1 mg/mL oral liquid; 250 mL,OxyNorm Liquid 5mg/5mL,1,12.31,Medication
8646C,TX,tacrolimus 500 microgram capsule; 100,TACROLIMUS APOTEX,100,125.07,Medication
8646C,SZ,tacrolimus 500 microgram capsule; 100,Tacrolimus Sandoz,100,125.07,Medication
8646C,CR,tacrolimus 500 microgram capsule; 100,Pharmacor Tacrolimus 0.5,100,125.07,Medication
8646C,AF,tacrolimus 500 microgram capsule; 100,Pacrolim,100,125.07,Medication
8646C,LL,tacrolimus 500 microgram capsule; 100,Prograf,100,125.07,Medication
8647D,AF,tacrolimus 1 mg capsule; 100,Pacrolim,100,250.14,Medication
8647D,TX,tacrolimus 1 mg capsule; 100,TACROLIMUS APOTEX,100,250.14,Medication
8647D,CR,tacrolimus 1 mg capsule; 100,Pharmacor Tacrolimus 1,100,250.14,Medication
8647D,SZ,tacrolimus 1 mg capsule; 100,Tacrolimus Sandoz,100,250.14,Medication
8647D,LL,tacrolimus 1 mg capsule; 100,Prograf,100,250.14,Medication
8648E,SZ,tacrolimus 5 mg capsule; 50,Tacrolimus Sandoz,50,625.04,Medication
8648E,CR,tacrolimus 5 mg capsule; 50,Pharmacor Tacrolimus 5,50,625.04,Medication
8648E,AF,tacrolimus 5 mg capsule; 50,Pacrolim,50,625.04,Medication
8648E,LL,tacrolimus 5 mg capsule; 50,Prograf,50,625.04,Medication
8648E,TX,tacrolimus 5 mg capsule; 50,TACROLIMUS APOTEX,50,625.04,Medication
8649F,RO,mycophenolate mofetil 250 mg capsule; 100,CellCept,300,51.26,Medication
8649F,SZ,mycophenolate mofetil 250 mg capsule; 100,Mycophenolate Sandoz,300,51.26,Medication
8649F,CR,mycophenolate mofetil 250 mg capsule; 100,Pharmacor Mycophenolate 250,300,51.26,Medication
8649F,TX,mycophenolate mofetil 250 mg capsule; 100,APO-Mycophenolate,300,51.26,Medication
8650G,SZ,mycophenolate mofetil 500 mg tablet; 50,Mycophenolate Sandoz,150,51.24,Medication
8650G,AF,mycophenolate mofetil 500 mg tablet; 50,Ceptolate,150,51.24,Medication
8650G,TX,mycophenolate mofetil 500 mg tablet; 50,APO-Mycophenolate,150,51.24,Medication
8650G,CR,mycophenolate mofetil 500 mg tablet; 50,Pharmacor Mycophenolate 500,150,51.24,Medication
8650G,EA,mycophenolate mofetil 500 mg tablet; 50,Mycophenolate AN,150,51.24,Medication
8650G,RO,mycophenolate mofetil 500 mg tablet; 50,CellCept,150,51.24,Medication
8651H,RO,mycophenolate mofetil 1 g/5 mL powder for oral liquid; 165 mL,CellCept,1,244.51,Medication
8654L,DO,levetiracetam 250 mg tablet; 60,Kerron 250,60,12.34,Medication
8654L,SZ,levetiracetam 250 mg tablet; 60,Levetiracetam SZ,60,12.34,Medication
8654L,CH,levetiracetam 250 mg tablet; 60,Chem mart Levetiracetam,60,12.34,Medication
8654L,TW,levetiracetam 250 mg tablet; 60,Terry White Chemists Levetiracetam,60,12.34,Medication
8654L,AF,levetiracetam 250 mg tablet; 60,Kevtam,60,12.34,Medication
8654L,RW,levetiracetam 250 mg tablet; 60,Levi 250,60,12.34,Medication
8654L,GQ,levetiracetam 250 mg tablet; 60,Levetiracetam GH,60,12.34,Medication
8654L,UC,levetiracetam 250 mg tablet; 60,Keppra,60,12.34,Medication
8654L,ED,levetiracetam 250 mg tablet; 60,Kepcet,60,12.34,Medication
8654L,RA,levetiracetam 250 mg tablet; 60,Levitaccord,60,12.34,Medication
8654L,ER,levetiracetam 250 mg tablet; 60,Levactam,60,12.34,Medication
8654L,EA,levetiracetam 250 mg tablet; 60,Levetiracetam AN,60,12.34,Medication
8654L,TX,levetiracetam 250 mg tablet; 60,APO-Levetiracetam,60,12.34,Medication
8654L,RZ,levetiracetam 250 mg tablet; 60,Levecetam 250,60,12.34,Medication
8655M,CH,levetiracetam 500 mg tablet; 60,Chem mart Levetiracetam,60,20.56,Medication
8655M,TW,levetiracetam 500 mg tablet; 60,Terry White Chemists Levetiracetam,60,20.56,Medication
8655M,RA,levetiracetam 500 mg tablet; 60,Levitaccord,60,20.56,Medication
8655M,ER,levetiracetam 500 mg tablet; 60,Levactam,60,20.56,Medication
8655M,EA,levetiracetam 500 mg tablet; 60,Levetiracetam AN,60,20.56,Medication
8655M,ED,levetiracetam 500 mg tablet; 60,Kepcet,60,20.56,Medication
8655M,GQ,levetiracetam 500 mg tablet; 60,Levetiracetam GH,60,20.56,Medication
8655M,AF,levetiracetam 500 mg tablet; 60,Kevtam,60,20.56,Medication
8655M,RZ,levetiracetam 500 mg tablet; 60,Levecetam 500,60,20.56,Medication
8655M,RW,levetiracetam 500 mg tablet; 60,Levi 500,60,20.56,Medication
8655M,UC,levetiracetam 500 mg tablet; 60,Keppra,60,20.56,Medication
8655M,TX,levetiracetam 500 mg tablet; 60,APO-Levetiracetam,60,20.56,Medication
8655M,SZ,levetiracetam 500 mg tablet; 60,Levetiracetam SZ,60,20.56,Medication
8655M,DO,levetiracetam 500 mg tablet; 60,Kerron 500,60,20.56,Medication
8656N,UC,levetiracetam 1 g tablet; 60,Keppra,60,34.26,Medication
8656N,ER,levetiracetam 1 g tablet; 60,Levactam,60,34.26,Medication
8656N,TX,levetiracetam 1 g tablet; 60,APO-Levetiracetam,60,34.26,Medication
8656N,ED,levetiracetam 1 g tablet; 60,Kepcet,60,34.26,Medication
8656N,SZ,levetiracetam 1 g tablet; 60,Levetiracetam SZ,60,34.26,Medication
8656N,RZ,levetiracetam 1 g tablet; 60,Levecetam 1000,60,34.26,Medication
8656N,DO,levetiracetam 1 g tablet; 60,Kerron 1000,60,34.26,Medication
8656N,CH,levetiracetam 1 g tablet; 60,Chem mart Levetiracetam,60,34.26,Medication
8656N,TW,levetiracetam 1 g tablet; 60,Terry White Chemists Levetiracetam,60,34.26,Medication
8656N,GQ,levetiracetam 1 g tablet; 60,Levetiracetam GH,60,34.26,Medication
8656N,RW,levetiracetam 1 g tablet; 60,Levi 1000,60,34.26,Medication
8656N,AF,levetiracetam 1 g tablet; 60,Kevtam,60,34.26,Medication
8656N,RA,levetiracetam 1 g tablet; 60,Levitaccord,60,34.26,Medication
8656N,EA,levetiracetam 1 g tablet; 60,Levetiracetam AN,60,34.26,Medication
8657P,NV,cyclosporin 10 mg capsule; 60,Neoral 10,120,37.2,Medication
8658Q,NV,cyclosporin 25 mg capsule; 30,Neoral 25,60,32.22,Medication
8658Q,SZ,cyclosporin 25 mg capsule; 30,Cyclosporin Sandoz,60,32.22,Medication
8659R,SZ,cyclosporin 50 mg capsule; 30,Cyclosporin Sandoz,60,67.04,Medication
8659R,NV,cyclosporin 50 mg capsule; 30,Neoral 50,60,67.04,Medication
8660T,NV,cyclosporin 100 mg capsule; 30,Neoral 100,60,136.6,Medication
8660T,SZ,cyclosporin 100 mg capsule; 30,Cyclosporin Sandoz,60,136.6,Medication
8661W,NV,cyclosporin 100 mg/mL oral liquid; 50 mL,Neoral,2,315.79,Medication
8662X,FP,desmopressin acetate 200 microgram tablet; 30,Minirin,90,46.45,Medication
8663Y,FP,desmopressin acetate 200 microgram tablet; 30,Minirin,30,46.45,Medication
8664B,SZ,riluzole 50 mg tablet; 56,Riluzole Sandoz,56,212.58,Medication
8664B,TX,riluzole 50 mg tablet; 56,APO-Riluzole,56,212.58,Medication
8664B,CR,riluzole 50 mg tablet; 56,Pharmacor Riluzole,56,212.58,Medication
8664B,SW,riluzole 50 mg tablet; 56,Rilutek,56,212.58,Medication
8664B,WA,riluzole 50 mg tablet; 56,Riluzole Winthrop,56,212.58,Medication
8667E,VF,amino acid formula with vitamins and minerals without phenylalanine and tyrosine powder for oral liquid; 30 x 25 g sachets,TYR express 15,4,701.1,Medication
8669G,MF,morphine sulfate 10 mg tablet; 20,Sevredol,20,4.19,Medication
8670H,MF,morphine sulfate 20 mg tablet; 20,Sevredol,20,4.96,Medication
8671J,BY,ipratropium bromide 20 microgram/actuation inhalation: pressurised; 200 actuations,Atrovent,2,11.09,Medication
